route_id,timestamp,latitude,longitude,speed_kmh,traffic_density,air_quality_index,weather,date,hour,day
R011,2025-08-02 16:49:22,14.77792,-17.49232,11,0.72,77,Rain,2025-08-02 16:49:22,16,Saturday
R006,2025-08-03 13:47:25,14.72198,-17.44166,26,0.25,63,Sunny,2025-08-03 13:47:25,13,Sunday
R016,2025-08-04 14:32:10,14.68513,-17.35672,29,0.12,39,Rain,2025-08-04 14:32:10,14,Monday
R017,2025-08-04 16:25:45,14.71356,-17.46964,26,0.33,71,Windy,2025-08-04 16:25:45,16,Monday
R007,2025-08-04 20:17:16,14.67961,-17.35719,47,0.07,52,Sunny,2025-08-04 20:17:16,20,Monday
R006,2025-08-04 22:02:30,14.66623,-17.39116,30,0.33,72,Sunny,2025-08-04 22:02:30,22,Monday
R018,2025-08-02 18:52:11,14.72654,-17.47493,22,0.29,78,Sunny,2025-08-02 18:52:11,18,Saturday
R002,2025-08-04 19:05:27,14.72505,-17.37688,31,0.34,54,Rain,2025-08-04 19:05:27,19,Monday
R005,2025-08-07 04:58:43,14.76102,-17.46217,38,0.23,63,Sunny,2025-08-07 04:58:43,4,Thursday
R001,2025-08-04 16:49:11,14.65249,-17.45463,19,0.44,66,Cloudy,2025-08-04 16:49:11,16,Monday
R015,2025-08-05 09:14:16,14.67739,-17.35851,25,0.62,86,Sunny,2025-08-05 09:14:16,9,Tuesday
R002,2025-08-04 07:32:22,14.74626,-17.52143,30,0.42,65,Windy,2025-08-04 07:32:22,7,Monday
R016,2025-08-02 15:13:49,14.66009,-17.46849,27,0.15,71,Harmattan,2025-08-02 15:13:49,15,Saturday
R013,2025-08-07 05:13:53,14.65999,-17.44988,22,0.22,59,Sunny,2025-08-07 05:13:53,5,Thursday
R002,2025-08-03 02:11:37,14.75445,-17.36415,38,0.15,53,Sunny,2025-08-03 02:11:37,2,Sunday
R019,2025-08-04 22:29:54,14.77727,-17.4293,13,0.48,83,Sunny,2025-08-04 22:29:54,22,Monday
R008,2025-08-02 16:30:05,14.65933,-17.41348,29,0.47,81,Cloudy,2025-08-02 16:30:05,16,Saturday
R014,2025-08-03 23:44:10,14.66857,-17.39493,24,0.42,56,Rain,2025-08-03 23:44:10,23,Sunday
R013,2025-08-06 17:13:18,14.65002,-17.44777,23,0.44,83,Harmattan,2025-08-06 17:13:18,17,Wednesday
R010,2025-08-06 10:54:20,14.69112,-17.52962,33,0.23,66,Sunny,2025-08-06 10:54:20,10,Wednesday
R020,2025-08-01 23:32:36,14.69905,-17.35718,44,0.22,60,Cloudy,2025-08-01 23:32:36,23,Friday
R004,2025-08-03 18:31:21,14.65057,-17.51661,28,0.38,63,Cloudy,2025-08-03 18:31:21,18,Sunday
R009,2025-08-02 05:38:51,14.75164,-17.42117,30,0.17,49,Sunny,2025-08-02 05:38:51,5,Saturday
R006,2025-08-02 03:51:51,14.67715,-17.47626,35,0.19,62,Sunny,2025-08-02 03:51:51,3,Saturday
R014,2025-08-06 17:13:07,14.7114,-17.37397,44,0.11,39,Rain,2025-08-06 17:13:07,17,Wednesday
R016,2025-08-04 18:50:07,14.74602,-17.48687,35,0.08,52,Sunny,2025-08-04 18:50:07,18,Monday
R010,2025-08-04 16:20:51,14.6645,-17.44683,16,0.63,67,Rain,2025-08-04 16:20:51,16,Monday
R015,2025-08-02 02:43:57,14.71407,-17.46914,28,0.38,53,Rain,2025-08-02 02:43:57,2,Saturday
R009,2025-08-03 15:37:08,14.75062,-17.39542,29,0.36,71,Cloudy,2025-08-03 15:37:08,15,Sunday
R018,2025-08-03 23:28:49,14.69525,-17.47565,32,0.24,49,Rain,2025-08-03 23:28:49,23,Sunday
R009,2025-08-02 23:25:45,14.70174,-17.48942,22,0.44,80,Sunny,2025-08-02 23:25:45,23,Saturday
R006,2025-08-04 23:35:54,14.65752,-17.35844,24,0.21,55,Cloudy,2025-08-04 23:35:54,23,Monday
R019,2025-08-04 18:03:50,14.73091,-17.39374,31,0.28,56,Cloudy,2025-08-04 18:03:50,18,Monday
R015,2025-08-04 22:34:22,14.68379,-17.48096,32,0.17,42,Rain,2025-08-04 22:34:22,22,Monday
R009,2025-08-07 07:46:23,14.66746,-17.35841,13,0.69,81,Cloudy,2025-08-07 07:46:23,7,Thursday
R015,2025-08-02 05:25:49,14.75491,-17.45807,28,0.05,46,Cloudy,2025-08-02 05:25:49,5,Saturday
R014,2025-08-05 03:52:58,14.77488,-17.51061,35,0.29,55,Cloudy,2025-08-05 03:52:58,3,Tuesday
R001,2025-08-02 08:36:03,14.6595,-17.42553,32,0.46,78,Sunny,2025-08-02 08:36:03,8,Saturday
R019,2025-08-01 12:02:33,14.73666,-17.51746,42,0.09,50,Windy,2025-08-01 12:02:33,12,Friday
R009,2025-08-01 17:43:05,14.69182,-17.38039,40,0.27,50,Rain,2025-08-01 17:43:05,17,Friday
R006,2025-08-06 23:02:35,14.70172,-17.36609,18,0.29,65,Cloudy,2025-08-06 23:02:35,23,Wednesday
R015,2025-08-04 15:01:08,14.75238,-17.4998,35,0.05,51,Sunny,2025-08-04 15:01:08,15,Monday
R019,2025-08-06 12:57:38,14.77356,-17.43368,42,0.26,45,Rain,2025-08-06 12:57:38,12,Wednesday
R016,2025-08-02 08:34:34,14.76623,-17.36071,24,0.24,53,Cloudy,2025-08-02 08:34:34,8,Saturday
R014,2025-08-05 07:04:59,14.6931,-17.37899,29,0.45,76,Sunny,2025-08-05 07:04:59,7,Tuesday
R004,2025-08-03 04:50:37,14.69318,-17.41128,24,0.21,59,Sunny,2025-08-03 04:50:37,4,Sunday
R016,2025-08-04 17:56:58,14.66662,-17.39689,16,0.28,48,Rain,2025-08-04 17:56:58,17,Monday
R013,2025-08-01 16:41:19,14.67995,-17.54971,12,0.69,87,Cloudy,2025-08-01 16:41:19,16,Friday
R011,2025-08-04 07:30:59,14.75618,-17.51368,26,0.11,52,Sunny,2025-08-04 07:30:59,7,Monday
R013,2025-08-07 11:53:13,14.74221,-17.51654,34,0.17,76,Harmattan,2025-08-07 11:53:13,11,Thursday
R001,2025-08-07 20:02:30,14.74867,-17.5295,43,0.11,54,Cloudy,2025-08-07 20:02:30,20,Thursday
R002,2025-08-03 12:38:14,14.7403,-17.4042,28,0.16,48,Cloudy,2025-08-03 12:38:14,12,Sunday
R020,2025-08-07 07:11:47,14.77721,-17.37869,16,0.43,70,Cloudy,2025-08-07 07:11:47,7,Thursday
R002,2025-08-03 17:17:26,14.74548,-17.47313,21,0.55,85,Sunny,2025-08-03 17:17:26,17,Sunday
R005,2025-08-04 17:53:40,14.77571,-17.53967,23,0.66,77,Cloudy,2025-08-04 17:53:40,17,Monday
R016,2025-08-02 17:22:04,14.76249,-17.51855,28,0.25,66,Sunny,2025-08-02 17:22:04,17,Saturday
R020,2025-08-04 03:42:01,14.73123,-17.43565,32,0.3,58,Rain,2025-08-04 03:42:01,3,Monday
R010,2025-08-01 09:58:58,14.70259,-17.53633,21,0.29,60,Cloudy,2025-08-01 09:58:58,9,Friday
R003,2025-08-03 23:26:55,14.69861,-17.36111,36,0.27,56,Windy,2025-08-03 23:26:55,23,Sunday
R004,2025-08-06 20:24:23,14.68592,-17.4636,32,0.17,49,Windy,2025-08-06 20:24:23,20,Wednesday
R005,2025-08-07 07:09:44,14.74159,-17.46545,18,0.44,71,Windy,2025-08-07 07:09:44,7,Thursday
R010,2025-08-07 10:13:10,14.77591,-17.42927,34,0.21,53,Rain,2025-08-07 10:13:10,10,Thursday
R014,2025-08-07 02:32:17,14.68476,-17.54698,31,0.27,56,Windy,2025-08-07 02:32:17,2,Thursday
R008,2025-08-06 19:02:55,14.72639,-17.40977,24,0.47,64,Cloudy,2025-08-06 19:02:55,19,Wednesday
R013,2025-08-03 13:31:09,14.77449,-17.47019,29,0.16,72,Harmattan,2025-08-03 13:31:09,13,Sunday
R017,2025-08-02 21:45:39,14.70642,-17.49826,43,0.13,66,Harmattan,2025-08-02 21:45:39,21,Saturday
R009,2025-08-06 06:51:38,14.66188,-17.51015,26,0.22,69,Sunny,2025-08-06 06:51:38,6,Wednesday
R017,2025-08-04 11:49:10,14.72888,-17.41543,33,0.16,72,Harmattan,2025-08-04 11:49:10,11,Monday
R010,2025-08-04 20:57:38,14.73018,-17.40142,37,0.13,63,Harmattan,2025-08-04 20:57:38,20,Monday
